organ,protein_seqid,kadrc_mean,kadrc_std
Lung,5462-62,3.064144242,0.12303243
Lung,4697-59,2.351865974,0.184519016
Lung,3044-3,4.868252575,0.128718091
Muscle,5440-26,3.611214533,0.212499508
Muscle,4130-71,2.495053111,0.126538477
Muscle,13998-26,2.69544682,0.165431575
Muscle,9173-21,2.627106498,0.09859124
Muscle,9574-11,2.916785909,0.120099304
Muscle,6940-18,3.060398969,0.105234835
Muscle,9933-49,2.894064147,0.35813772
Muscle,10058-1,3.946266975,0.152938635
Muscle,5008-51,4.289400026,0.107184684
Muscle,9867-23,2.955099833,0.120141385
Muscle,16807-35,3.546037193,0.13076066
Muscle,17832-12,2.46349325,0.151391543
Muscle,11263-57,3.851183273,0.068911219
Muscle,11352-42,2.651469275,0.144205424
Muscle,9901-28,3.193369959,0.149875189
Muscle,3714-49,2.80495671,0.312155804
Muscle,7648-9,3.236611628,0.211353303
Muscle,16616-137,3.162413534,0.241640808
Muscle,3799-11,3.210899265,0.204451044
Pancreas,18917-53,4.159138082,0.151157565
Pancreas,4588-1,3.312709218,0.20282321
Pancreas,15471-29,2.90990738,0.233056745
Pancreas,7767-1,3.083841724,0.108467669
Pancreas,8243-55,2.775263587,0.144200978
Pancreas,13095-51,3.874852194,0.189195202
Pancreas,4883-56,2.221247096,0.188048979
Pancreas,5749-53,2.422144087,0.191361619
Pancreas,7117-21,2.710262112,0.093088595
Pancreas,5671-1,2.943914225,0.174467687
Pancreas,7140-1,3.398622402,0.180557515
Pancreas,9796-4,3.016510325,0.192767199
Pancreas,9526-3,2.778393549,0.118686496
Pancreas,18864-7,2.870376299,0.133140692
Pancreas,4891-50,3.189640241,0.249977535
Pancreas,15375-49,3.423015243,0.197837799
Pancreas,5034-79,3.333922831,0.209537682
Pancreas,5648-28,2.877510166,0.309450592
Pancreas,15476-6,3.35905042,0.221938432
Pancreas,19639-53,3.475977983,0.133116113
Pancreas,15556-49,3.223846076,0.149521524
Pancreas,7918-114,3.35254609,0.208185351
Pancreas,6357-83,2.791245639,0.097873238
Pancreas,16770-3,4.359478241,0.154028424
Pancreas,9276-7,2.915010212,0.122456054
Pancreas,15613-16,3.045364719,0.19889402
Pancreas,9333-59,2.566041584,0.156927647
Pancreas,7943-16,2.497940767,0.152324361
Pancreas,16609-106,2.613386319,0.171594251
Pancreas,7717-95,3.108529694,0.248041855
Pancreas,6627-25,3.568291355,0.177322342
Pancreas,3049-61,3.755158209,0.17212165
Pancreas,5626-20,2.45679167,0.119123184
Pancreas,4910-21,2.591097504,0.158221142
Organismal,4156-74,2.466028637,0.110566339
Organismal,18415-16,3.316056332,0.111528327
Organismal,10781-19,3.574030515,0.071490594
Organismal,8326-63,2.963931417,0.094216366
Organismal,17784-23,3.639441581,0.176419161
Organismal,12678-66,2.995610146,0.261304701
Organismal,11683-19,3.27420837,0.201739562
Organismal,13748-4,2.442261259,0.135690456
Organismal,16614-27,3.340470158,0.155595985
Organismal,17770-42,3.004432445,0.161274464
Organismal,3122-6,3.505346149,0.118072949
Organismal,19369-17,2.485954477,0.124584867
Organismal,11510-31,4.628081115,0.089854135
Organismal,4355-13,3.110122619,0.115568952
Organismal,12650-43,2.794950425,0.098184977
Organismal,16857-2,3.034507104,0.149188487
Organismal,2597-8,3.834064525,0.078829998
Organismal,15427-35,3.40016032,0.218575243
Organismal,3346-72,3.062701155,0.112518589
